A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
3125.0,0.145173941,-1.913805506,-1.428138398,2.099165039,-0.821612772,2.078525039,-0.380388345,bad
699.0,-0.79959372,-0.501724994,2.197018238,-0.177494615,1.263451954,0.633092235,-1.501630364,good
3116.0,0.539055893,-3.805667483,2.723953575,1.27112836,0.554292284,2.554438013,-2.047689391,good
2.0,-0.292023862,-1.351281995,-1.738429162,-0.342615928,2.838635512,-0.038033328,2.621636473,bad
3052.0,2.143414632,-2.096964281,0.930632039,4.303733543,0.057817912,1.177471507,2.523858095,good
1294.0,-1.697843453,-1.791843659,-1.332839748,0.106406444,0.585903916,2.301834988,-2.856913601,bad
3612.0,0.040254695,0.300565385,-0.588036422,0.791711163,0.969212542,-0.987202915,-0.944209504,bad
3637.0,-3.026836026,0.962312473,-0.516213768,-1.39690954,-1.209017756,1.36093326,-1.209371265,good
3503.0,0.981955951,0.534509753,-1.568155322,0.341471643,-0.404180757,-0.364586996,-0.268519733,good
1943.0,0.783392908,-0.782197492,-0.177542644,1.217637139,-1.441139571,-0.454873235,-2.148650397,bad
3763.0,-0.368843836,-0.277336728,-3.025782308,0.563870602,1.253722428,3.099850254,-0.458133124,bad
2202.0,0.705151025,-0.975941243,-0.317426701,0.229511689,-0.792009283,-0.686751105,0.967041295,good
2018.0,-1.557786409,-1.471138953,-1.669224586,0.306207078,2.125749174,3.335779504,-0.649064514,bad
70.0,0.610132436,-3.460818667,1.336759306,0.387451504,-0.136781229,2.988645551,-2.044768947,bad
3062.0,-1.135749883,0.008586787,0.948512144,1.553569366,2.116582715,-0.272923438,0.512910617,bad
718.0,0.395927611,-3.8995552,1.420567824,0.871466375,-2.453601982,0.965292169,-2.152558033,bad
2025.0,-3.523589685,0.494272579,-0.275020086,0.046170188,-3.122809512,-2.132912321,-1.668711571,good
1341.0,2.181629694,-3.755985414,0.043770807,0.013851576,4.854058748,-0.71888223,4.67363368,good
1099.0,2.583458053,0.936204558,-1.431337674,3.428370819,3.01390711,-2.269795546,1.815548893,good
2797.0,0.641322934,0.600317926,1.614658641,-2.311266063,2.757030684,-1.623485265,3.3848004,good
3978.0,-1.971622595,1.828699509,-1.787126015,0.963285964,-0.300505594,-2.202798075,-2.072508474,good
409.0,-1.456216537,1.715472496,-1.754080472,0.622814372,-0.237515854,0.169501857,0.819827005,bad
3187.0,-2.747330489,-1.093614998,-0.682519393,0.780432745,0.83226379,3.188638335,0.691372124,bad
1291.0,0.670873929,-3.621538116,2.77849514,1.817759679,1.166009403,1.895061257,0.323823432,good
1167.0,-0.9224065,-2.287546768,2.111653203,0.852655504,0.456668196,2.057953256,1.561895451,good
3227.0,-2.983325412,0.573440898,0.082280487,0.533181203,2.134812422,-0.656205892,-2.92865794,good
2105.0,-1.716625199,-1.228013068,-0.8723251,0.931502037,-2.082361597,0.002732702,-2.246384251,bad
3411.0,-2.120911484,0.645851923,-2.41137588,1.605659766,0.231259413,1.785404174,0.355960178,bad
1458.0,1.870198395,-4.994460268,4.717131362,0.963823956,-0.503281211,3.779079424,0.338473295,good
1209.0,-1.87053341,-1.335990399,0.277939832,1.899510215,2.509132421,0.414078546,0.244161158,good
1786.0,-1.564766577,0.375636939,-1.96633904,-0.30186462,0.17364018,2.176914859,-0.56257843,bad
1343.0,-1.581262212,0.391676863,0.22747286,-1.600397362,-0.20228255,2.069619323,-2.057901543,good
1472.0,1.05195649,-2.570055123,2.432365786,0.064851346,-1.486975249,3.124564237,-0.859936938,good
998.0,-1.326769718,-0.502953425,0.145566907,0.872708264,1.655474327,0.75639619,-0.777125843,bad
1929.0,-1.378677838,-0.342359065,0.705051831,1.376642573,-1.690191601,-1.386841715,1.001952064,bad
1318.0,-2.918443665,-1.02065579,-1.721626587,1.309935384,-0.442591863,5.066804156,-1.02746287,bad
2468.0,1.285556338,-2.775153521,-1.515626814,-3.850311952,2.635947874,1.310341833,-0.481429777,good
117.0,-1.447494934,-1.136977946,-0.836801233,1.932464027,-1.512099553,0.801874172,2.669102823,bad
3288.0,-3.645545244,0.034728056,1.972599444,-0.236277753,2.953790582,-0.678424829,-2.554458565,good
739.0,-1.771100824,0.307564105,1.831174568,1.434226006,1.015248742,-0.765246239,0.480489556,bad
1501.0,0.687982091,-0.13509323,-1.257287334,3.237504317,-1.20599185,-1.335646136,1.003508224,good
1531.0,0.374167799,-1.423500807,-0.684300928,-1.355654397,1.992887965,-0.603263614,0.342091133,good
2209.0,-0.939374182,0.360852891,-0.892405419,-0.282832832,0.700530373,0.787688514,-3.496028713,good
3040.0,1.51469881,-2.027391605,-0.644007736,-1.693203149,3.728025838,-0.559023779,1.176172575,good
868.0,-0.593083739,-0.614563467,-0.965532008,1.375837668,-0.404390723,0.632694826,-0.332070551,bad
797.0,-1.976268309,-1.69747492,3.938755942,-0.937526951,-1.122784652,-0.043763828,-0.812285956,bad
2120.0,4.83460754,-5.187416274,-1.230020786,1.01019782,4.759434044,0.31102365,2.60786687,good
1596.0,-1.44380442,-0.129617681,1.576433679,1.085106957,0.1756389,0.823766092,-0.514661791,good
3404.0,2.080913137,-2.846037672,-2.46682406,-0.119166605,0.893167571,1.063165124,-0.453097422,good
3309.0,-0.239188058,-0.439061706,1.352598277,0.793295966,0.958103174,-2.876156852,1.689852489,good
3020.0,-2.323340528,-2.585398763,1.307611767,1.118135737,1.429309401,-0.19873985,-3.861990488,bad
632.0,-0.140734671,-1.76203322,-0.135482386,3.071680989,0.355606697,2.046714119,2.158032334,good
